"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"glibc","2.34-9-g9acab0bba6a5a57323b1f94bf95b21618a9e5aa4","GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)","COPYING COPYING.LIB LICENSES","glibc-2.34-9-g9acab0bba6a5a57323b1f94bf95b21618a9e5aa4.tar.gz","https://github.com/bminor/glibc/archive/2.34-9-g9acab0bba6a5a57323b1f94bf95b21618a9e5aa4","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"linux-headers","custom","GPL-2.0","","linux-b42c23e39f9f5ada0c1dba16cadd93d3f376fdbd.tar.gz","https://github.com/raspberrypi/linux/archive/b42c23e39f9f5ada0c1dba16cadd93d3f376fdbd","skeleton-init-common [unknown] skeleton-init-none [unknown]"
"busybox","1.34.1","GPL-2.0, bzip2-1.0.4","LICENSE archival/libarchive/bz/LICENSE","busybox-1.34.1.tar.bz2","https://www.busybox.net/downloads","dosfstools [GPL-3.0+] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] pcre2 [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-none [unknown] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), ISC (rfkill)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
"dosfstools","4.2","GPL-3.0+","COPYING","dosfstools-4.2.tar.gz","https://github.com/dosfstools/dosfstools/releases/download/v4.2","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
"eudev","3.2.11","GPL-2.0+ (programs), LGPL-2.1+ (libraries)","COPYING","eudev-3.2.11.tar.gz","https://github.com/eudev-project/eudev/releases/download/v3.2.11","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
"kmod","29","LGPL-2.1+ (library)","libkmod/COPYING","kmod-29.tar.xz","https://cdn.kernel.org/pub/linux/utils/kernel/kmod","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
"libopenssl","1.1.1m","OpenSSL or SSLeay","LICENSE","openssl-1.1.1m.tar.gz","https://www.openssl.org/source","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"libzlib","1.2.11","Zlib","README","zlib-1.2.11.tar.xz","http://www.zlib.net","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"xz","5.2.5","Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+","COPYING COPYING.GPLv2 COPYING.GPLv3 COPYING.LGPLv2.1","xz-5.2.5.tar.bz2","https://tukaani.org/xz","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"zstd","1.5.1","BSD-3-Clause or GPL-2.0","LICENSE COPYING","zstd-1.5.1.tar.gz","https://github.com/facebook/zstd/releases/download/v1.5.1","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+]"
